country,countryCode,region,regionCode,city,cityCode,district,districtCode,street,streetCode,
阿富汗,AF,,,,,,,,,
阿尔巴尼亚,AL,,,,,,,,,
阿尔及利亚,DZ,,,,,,,,,
美属萨摩亚,AS,,,,,,,,,
安道尔,AD,,,,,,,,,
安哥拉,AO,,,,,,,,,
安圭拉,AI,,,,,,,,,
南极洲,AQ,,,,,,,,,
安地卡及巴布达,AG,,,,,,,,,
阿根廷,AR,,,,,,,,,
亚美尼亚,AM,,,,,,,,,
阿鲁巴,AW,,,,,,,,,
澳大利亚,AU,,,,,,,,,
奥地利,AT,,,,,,,,,
阿塞拜疆,AZ,,,,,,,,,
巴哈马,BS,,,,,,,,,
巴林,BH,,,,,,,,,
孟加拉国,BD,,,,,,,,,
巴巴多斯,BB,,,,,,,,,
白俄罗斯,BY,,,,,,,,,
比利时,BE,,,,,,,,,
伯利兹,BZ,,,,,,,,,
贝宁,BJ,,,,,,,,,
百慕大,BM,,,,,,,,,
不丹,BT,,,,,,,,,
玻利维亚,BO,,,,,,,,,
波斯尼亚和黑塞哥维那,BA,,,,,,,,,
博茨瓦纳,BW,,,,,,,,,
布韦岛,BV,,,,,,,,,
巴西,BR,,,,,,,,,
英属印度洋领地,IO,,,,,,,,,
英属维尔京群岛,VG,,,,,,,,,
文莱,BN,,,,,,,,,
保加利亚,BG,,,,,,,,,
布吉纳法索,BF,,,,,,,,,
缅甸,MM,,,,,,,,,
布隆迪,BI,,,,,,,,,
佛得角,CV,,,,,,,,,
柬埔寨,KH,,,,,,,,,
喀麦隆,CM,,,,,,,,,
加拿大,CA,,,,,,,,,
开曼群岛,KY,,,,,,,,,
中非,CF,,,,,,,,,
乍得,TD,,,,,,,,,
智利,CL,,,,,,,,,
中国,CN,,,,,,,,,
圣诞岛,CX,,,,,,,,,
科科斯（基林）群岛,CC,,,,,,,,,
哥伦比亚,CO,,,,,,,,,
科摩罗,KM,,,,,,,,,
刚果（金）,CD,,,,,,,,,
刚果（布）,CG,,,,,,,,,
库克群岛,CK,,,,,,,,,
哥斯达黎加,CR,,,,,,,,,
科特迪瓦,CI,,,,,,,,,
克罗地亚,HR,,,,,,,,,
古巴,CU,,,,,,,,,
库拉索,CW,,,,,,,,,
赛普勒斯,CY,,,,,,,,,
捷克,CZ,,,,,,,,,
丹麦,DK,,,,,,,,,
吉布提,DJ,,,,,,,,,
多米尼克,DM,,,,,,,,,
多米尼加,DO,,,,,,,,,
厄瓜多尔,EC,,,,,,,,,
埃及,EG,,,,,,,,,
萨尔瓦多,SV,,,,,,,,,
赤道几内亚,GQ,,,,,,,,,
厄立特里亚,ER,,,,,,,,,
爱沙尼亚,EE,,,,,,,,,
衣索比亚,ET,,,,,,,,,
福克兰群岛,FK,,,,,,,,,
法罗群岛,FO,,,,,,,,,
斐济,FJ,,,,,,,,,
芬兰,FI,,,,,,,,,
法国,FR,,,,,,,,,
法国本土,FX,,,,,,,,,
法属圭亚那,GF,,,,,,,,,
法属玻里尼西亚,PF,,,,,,,,,
法属南方和南极洲领地,TF,,,,,,,,,
加彭,GA,,,,,,,,,
冈比亚,GM,,,,,,,,,
巴勒斯坦,PS,,,,,,,,,
格鲁吉亚,GE,,,,,,,,,
德国,DE,,,,,,,,,
加纳,GH,,,,,,,,,
直布罗陀,GI,,,,,,,,,
希腊,GR,,,,,,,,,
格陵兰,GL,,,,,,,,,
格瑞那达,GD,,,,,,,,,
瓜德罗普,GP,,,,,,,,,
关岛,GU,,,,,,,,,
危地马拉,GT,,,,,,,,,
根西,GG,,,,,,,,,
几内亚,GN,,,,,,,,,
几内亚比绍,GW,,,,,,,,,
圭亚那,GY,,,,,,,,,
海地,HT,,,,,,,,,
赫德岛和麦克唐纳群岛,HM,,,,,,,,,
梵蒂冈,VA,,,,,,,,,
洪都拉斯,HN,,,,,,,,,
中国香港,HK,,,,,,,,,
匈牙利,HU,,,,,,,,,
冰岛,IS,,,,,,,,,
印度,IN,,,,,,,,,
印尼,ID,,,,,,,,,
伊朗,IR,,,,,,,,,
伊拉克,IQ,,,,,,,,,
爱尔兰,IE,,,,,,,,,
马恩岛,IM,,,,,,,,,
以色列,IL,,,,,,,,,
义大利,IT,,,,,,,,,
牙买加,JM,,,,,,,,,
日本,JP,,,,,,,,,
泽西,JE,,,,,,,,,
约旦,JO,,,,,,,,,
哈萨克斯坦,KZ,,,,,,,,,
肯尼亚,KE,,,,,,,,,
基里巴斯,KI,,,,,,,,,
朝鲜,KP,,,,,,,,,
韩国,KR,,,,,,,,,
科索沃,XK,,,,,,,,,
科威特,KW,,,,,,,,,
吉尔吉斯斯坦,KG,,,,,,,,,
老挝,LA,,,,,,,,,
拉脱维亚,LV,,,,,,,,,
黎巴嫩,LB,,,,,,,,,
赖索托,LS,,,,,,,,,
利比里亚,LR,,,,,,,,,
利比亚,LY,,,,,,,,,
列支敦斯登,LI,,,,,,,,,
立陶宛,LT,,,,,,,,,
卢森堡,LU,,,,,,,,,
中国澳门,MO,,,,,,,,,
马其顿,MK,,,,,,,,,
马达加斯加,MG,,,,,,,,,
马拉维,MW,,,,,,,,,
马来西亚,MY,,,,,,,,,
马尔地夫,MV,,,,,,,,,
马里,ML,,,,,,,,,
马尔他,MT,,,,,,,,,
马绍尔群岛,MH,,,,,,,,,
马提尼克,MQ,,,,,,,,,
毛里塔尼亚,MR,,,,,,,,,
模里西斯,MU,,,,,,,,,
马约特,YT,,,,,,,,,
墨西哥,MX,,,,,,,,,
密克罗尼西亚联邦,FM,,,,,,,,,
摩尔多瓦,MD,,,,,,,,,
摩纳哥,MC,,,,,,,,,
蒙古,MN,,,,,,,,,
蒙特内哥罗,ME,,,,,,,,,
蒙特塞拉特,MS,,,,,,,,,
摩洛哥,MA,,,,,,,,,
莫桑比克,MZ,,,,,,,,,
纳米比亚,NA,,,,,,,,,
瑙鲁,NR,,,,,,,,,
尼泊尔,NP,,,,,,,,,
荷兰,NL,,,,,,,,,
荷属安的列斯,AN,,,,,,,,,
新喀里多尼亚,NC,,,,,,,,,
新西兰,NZ,,,,,,,,,
尼加拉瓜,NI,,,,,,,,,
尼日尔,NE,,,,,,,,,
奈及利亚,NG,,,,,,,,,
纽埃,NU,,,,,,,,,
诺福克岛,NF,,,,,,,,,
北马里亚纳群岛,MP,,,,,,,,,
挪威,NO,,,,,,,,,
阿曼,OM,,,,,,,,,
巴基斯坦,PK,,,,,,,,,
帛琉,PW,,,,,,,,,
巴拿马,PA,,,,,,,,,
巴布亚新几内亚,PG,,,,,,,,,
巴拉圭,PY,,,,,,,,,
秘鲁,PE,,,,,,,,,
菲律宾,PH,,,,,,,,,
皮特凯恩群岛,PN,,,,,,,,,
波兰,PL,,,,,,,,,
葡萄牙,PT,,,,,,,,,
波多黎各,PR,,,,,,,,,
卡塔尔,QA,,,,,,,,,
留尼汪,RE,,,,,,,,,
罗马尼亚,RO,,,,,,,,,
台湾,TW,,,,,,,,,
俄罗斯,RU,,,,,,,,,
卢旺达,RW,,,,,,,,,
圣巴泰勒米,BL,,,,,,,,,
圣赫勒拿,SH,,,,,,,,,
阿森松和特里斯坦-达库尼亚,SH,,,,,,,,,
圣基茨和尼维斯,KN,,,,,,,,,
圣卢西亚,LC,,,,,,,,,
法属圣马丁,MF,,,,,,,,,
圣文森特和格林纳丁斯,VC,,,,,,,,,
萨摩亚,WS,,,,,,,,,
圣马力诺,SM,,,,,,,,,
圣多美和普林西比,ST,,,,,,,,,
沙乌地阿拉伯,SA,,,,,,,,,
塞内加尔,SN,,,,,,,,,
塞尔维亚,RS,,,,,,,,,
塞舌尔,SC,,,,,,,,,
塞拉利昂,SL,,,,,,,,,
新加坡,SG,,,,,,,,,
圣马丁,SX,,,,,,,,,
斯洛伐克,SK,,,,,,,,,
斯洛维尼亚,SI,,,,,,,,,
所罗门群岛,SB,,,,,,,,,
索马利亚,SO,,,,,,,,,
南非,ZA,,,,,,,,,
南乔治亚和南桑威奇群岛,GS,,,,,,,,,
南苏丹,SS,,,,,,,,,
西班牙,ES,,,,,,,,,
斯里兰卡,LK,,,,,,,,,
